superior_frontal_gyrus_left,superior_frontal_gyrus_right,orbitofrontal_cortex_left,orbitofrontal_cortex_right,dorsolateral_frontal_cortex_left,dorsolateral_frontal_cortex_right,paracentral_lobule_left,paracentral_lobule_right,postcentral_gyrus_left,postcentral_gyrus_right,dorsolateral_parietal_cortex_left,dorsolateral_parietal_cortex_right,precuneus_left,precuneus_right,anterior_cingulate_cortex_left,anterior_cingulate_cortex_right,posterior_cingulate_cortex_left,posterior_cingulate_cortex_right,isthmus_cingulate_cortex_left,isthmus_cingulate_cortex_right,lateral_temporal_cortex_left,lateral_temporal_cortex_right,mesial_temporal_cortex_left,mesial_temporal_cortex_right,lateral_occipital_cortex_left,lateral_occipital_cortex_right,pericalcarine_cortex_left,pericalcarine_cortex_right,lingual_gyrus_left,lingual_gyrus_right,cuneus_left,cuneus_right,insula_left,insula_right,cerebellar_cortex_left,cerebellar_cortex_right,thalamus_left,thalamus_right,caudate_left,caudate_right,putamen_left,putamen_right,globus_pallidus_left,globus_pallidus_right,brainstem_wo_pons,pons,hippocampus_left,hippocampus_right,amygdala_left,amygdala_right,ventral_diencephalon_left,ventral_diencephalon_right
1.2321665,1.2588297,1.2523963,1.2371128,1.294096,1.3186946,1.332443,1.3402548,1.2348682,1.2738653,1.3124279,1.3280582,1.6265783,1.6276165,1.1769168,1.0984544,1.3695525,1.3503006,1.4154311,1.4664936,1.18868,1.2344749,1.2507381,1.238034,1.3354441,1.2887732,1.7504561,1.8285289,1.6162859,1.6268605,1.6402732,1.7781717,1.1879722,1.1815125,1.1425569,1.1129624,1.1480799,1.1686538,1.0054973,1.0089092,1.4145706,1.382628,1.1383737,1.133886,0.8965716,0.9275321,1.0130153,1.0339539,0.929736,0.968498,1.0025705,0.9975977
1.2472517,1.2679113,1.2336602,1.2708793,1.3036287,1.3015275,1.3161355,1.2873977,1.2127454,1.2269328,1.2448006,1.260112,1.6065706,1.5921478,1.1899331,1.0905793,1.3906153,1.3637215,1.462522,1.4591165,1.1661593,1.183974,1.196053,1.1740263,1.2159688,1.1690392,1.6302778,1.6842955,1.4925156,1.5255705,1.5248066,1.6937966,1.2032149,1.1791037,1.1178181,1.1041584,1.1614292,1.1497447,1.0344814,1.0097779,1.4226291,1.389671,1.1575259,1.1456969,0.90230083,0.93547165,0.9773573,0.9928346,0.9677132,0.9506173,0.96525675,0.95769566
1.0476142,1.0432048,1.0623676,1.0559103,1.0941844,1.1170024,1.1529683,1.1476347,1.0587529,1.0850683,0.95607024,0.9814893,1.1674756,1.2002724,0.9737304,0.9540811,1.1486316,1.1677111,1.1287614,1.1379893,0.9254222,0.91740805,0.99163574,0.9839732,0.9596853,0.9422929,1.4435953,1.4170002,1.2754655,1.2334572,1.2541505,1.2920107,1.0444916,1.0636109,1.0607266,1.0475919,1.0998214,1.0908251,0.99283683,0.97178847,1.4508543,1.441004,1.1770201,1.1737694,0.91486907,0.9448869,0.9955989,0.96524256,1.0024906,0.9644077,0.9568801,0.9333791
1.1070122,1.1018648,1.1110326,1.1220394,1.2010405,1.2089024,1.2053374,1.1994641,1.1455077,1.1432741,0.99467015,1.0363257,1.2275839,1.2877762,0.99428403,0.9967241,1.1999758,1.2628913,1.1934683,1.2091607,0.94472057,0.94563997,1.0104327,1.001228,0.96435225,0.96367586,1.4603163,1.4638201,1.3194962,1.2934921,1.2755061,1.3289267,1.1237229,1.1267323,1.058495,1.0663642,1.1630318,1.1432647,1.075618,1.0797939,1.7089005,1.647689,1.2972735,1.314586,0.92741,0.9354592,0.99923253,0.97963667,1.0010049,1.024783,0.99572337,0.98707277
1.2274863,1.1720624,1.1624196,1.1199361,1.2667007,1.1757762,1.3036427,1.2838887,1.2107017,1.1678461,1.1377802,1.0644062,1.337768,1.2986008,1.1174598,1.0397642,1.4322597,1.3692644,1.1916667,1.1369172,1.0270954,0.98311865,0.98142076,0.942729,1.0280235,0.9304046,1.2480913,1.2337705,1.2294481,1.1648124,1.143379,1.1761711,1.0937237,1.0181757,1.0867989,1.1106937,1.2069336,1.0979388,0.98376644,0.8759037,1.3808266,1.3733245,1.1116072,1.032369,0.9102379,0.93508595,0.8377329,0.7585331,0.789913,0.8353052,1.0099742,0.9289237
1.3350109,1.2683295,1.249772,1.190216,1.4175876,1.2491938,1.5117687,1.4472835,1.3845314,1.2814549,1.2703174,1.184436,1.5124731,1.4251394,1.2238003,1.1220186,1.5614341,1.5654995,1.3029498,1.2360655,1.1431067,1.0288976,1.0759283,0.99456584,1.1771294,1.0663017,1.3827809,1.3233156,1.3593812,1.2421038,1.3061227,1.2660556,1.2057061,1.0924587,1.1284455,1.136755,1.2339469,1.1594832,1.0345331,0.9285404,1.4905114,1.4366878,1.0955766,1.1083622,0.95642215,0.9479133,0.8849654,0.8090976,0.9024652,0.88332427,1.050593,0.97780615
1.6862427,1.6921396,1.5136695,1.5680287,1.6942213,1.7332963,1.6323663,1.5664585,1.4723259,1.5013379,1.5971526,1.5987778,1.8718033,1.8327618,1.5097566,1.4643308,1.7754451,1.7979599,1.7065535,1.7275983,1.4336752,1.4730285,1.3574778,1.3372546,1.5438707,1.5398326,1.8897238,1.9566203,1.7149316,1.7436142,1.795593,1.7336636,1.469828,1.4802921,1.2181472,1.2089285,1.3942708,1.3986806,1.4271809,1.4449594,1.8040361,1.7780101,1.2582753,1.2888899,1.0256622,0.95530826,1.1964508,1.2024058,1.0686743,1.1077747,1.125497,1.125601
1.5055455,1.4884785,1.3838224,1.3941714,1.5279702,1.5300108,1.4271852,1.3726507,1.3340749,1.3144469,1.4466382,1.4061799,1.6419121,1.592008,1.3772111,1.3283079,1.6128068,1.5814639,1.5403965,1.5083399,1.3373228,1.3263493,1.2397425,1.1991066,1.4281613,1.4333481,1.7976544,1.82153,1.6146817,1.6256287,1.6672375,1.5890495,1.3611944,1.3198323,1.2324029,1.2166765,1.3033794,1.2831428,1.3198087,1.2998686,1.5810328,1.5460068,1.1065003,1.1309314,0.9650425,0.9443399,1.0764056,1.0588973,1.0026385,1.0055474,1.0491836,1.0274397
1.2106266,1.2584223,1.2694988,1.3020407,1.2765186,1.3149347,1.2217762,1.2592037,1.1611212,1.1566643,1.155691,1.1629201,1.4154387,1.4088744,1.2311664,1.2460796,1.380831,1.4073455,1.298864,1.3905754,1.1355696,1.1485522,1.10925,1.1087546,1.1785822,1.1608562,1.5355167,1.5861075,1.335506,1.3499523,1.347961,1.3652292,1.2533549,1.2507595,1.0833415,1.070148,1.0928969,1.1037157,0.85983187,0.8898807,1.4241607,1.4363905,1.0740794,1.086062,0.8838497,0.9143281,0.9111042,0.9316575,0.918537,0.92796415,0.9267204,0.9294251
1.1736336,1.2123921,1.2350999,1.2762294,1.2348441,1.2703326,1.1473938,1.2007931,1.1216555,1.1152811,1.139404,1.1489128,1.411154,1.4109874,1.1823456,1.191298,1.3325506,1.3550869,1.2910881,1.3686434,1.098314,1.119094,1.0943214,1.0972979,1.2209156,1.2035165,1.6292514,1.687794,1.3704556,1.3744088,1.3846937,1.419395,1.2023822,1.2102361,1.0965848,1.0921557,1.0850822,1.0968934,0.83137226,0.86228484,1.4088413,1.4255021,1.064428,1.0733919,0.86530626,0.90662307,0.8930193,0.9152632,0.9050572,0.9127983,0.9215698,0.92100644
