Label,AnatomicalStruct
1,superior_frontal_gyrus_left
2,superior_frontal_gyrus_right
3,orbitofrontal_cortex_left
4,orbitofrontal_cortex_right
5,dorsolateral_frontal_cortex_left
6,dorsolateral_frontal_cortex_right
7,paracentral_lobule_left
8,paracentral_lobule_right
9,postcentral_gyrus_left
10,postcentral_gyrus_right
11,dorsolateral_parietal_cortex_left
12,dorsolateral_parietal_cortex_right
13,precuneus_left
14,precuneus_right
15,anterior_cingulate_cortex_left
16,anterior_cingulate_cortex_right
17,posterior_cingulate_cortex_left
18,posterior_cingulate_cortex_right
19,isthmus_cingulate_cortex_left
20,isthmus_cingulate_cortex_right
21,lateral_temporal_cortex_left
22,lateral_temporal_cortex_right
23,mesial_temporal_cortex_left
24,mesial_temporal_cortex_right
25,lateral_occipital_cortex_left
26,lateral_occipital_cortex_right
27,pericalcarine_cortex_left
28,pericalcarine_cortex_right
29,lingual_gyrus_left
30,lingual_gyrus_right
31,cuneus_left
32,cuneus_right
33,insula_left
34,insula_right
35,cerebellar_cortex_left
36,cerebellar_cortex_right
37,thalamus_left
38,thalamus_right
39,caudate_left
40,caudate_right
41,putamen_left
42,putamen_right
43,globus_pallidus_left
44,globus_pallidus_right
45,brainstem_wo_pons
46,pons
47,hippocampus_left
48,hippocampus_right
49,amygdala_left
50,amygdala_right
51,ventral_diencephalon_left
52,ventral_diencephalon_right
